step,current_node,u,v,old_cost,new_cost
7,20,36,35,3.2507291247073744,2.3037977421969233
8,35,34,49,3.675065050944837,2.6194566764319474
8,35,35,50,3.2507291247073744,2.3037977421969233
8,35,36,51,3.132352393806222,2.2936193751826934
8,35,49,34,3.675065050944837,2.6194566764319474
8,35,49,50,3.9813877231844383,3.2316508661085357
8,35,50,35,3.2507291247073744,2.3037977421969233
8,35,50,49,3.9813877231844383,3.2316508661085357
8,35,50,51,3.5428675904357085,2.8948506376044203
8,35,51,36,3.132352393806222,2.2936193751826934
8,35,51,50,3.5428675904357085,2.8948506376044203
9,50,49,64,3.9813877231844383,3.2316508661085357
9,50,50,65,3.5428675904357085,2.8948506376044203
9,50,51,66,3.370351196288909,2.7575940387246676
9,50,64,49,3.9813877231844383,3.2316508661085357
9,50,64,65,4.283719173883153,3.9248868522078606
9,50,65,50,3.5428675904357085,2.8948506376044203
9,50,65,64,4.283719173883153,3.9248868522078606
9,50,65,66,3.843042785594616,3.5523723666633016
9,50,66,51,3.370351196288909,2.7575940387246676
9,50,66,65,3.843042785594616,3.5523723666633016
10,65,64,79,4.283719173883153,3.9248868522078606
10,65,65,80,3.843042785594616,3.5523723666633016
10,65,66,81,3.628842982909634,3.28125725683157
10,65,79,64,4.283719173883153,3.9248868522078606
10,65,79,80,4.497276987854441,4.479658403604269
10,65,80,65,3.843042785594616,3.5523723666633016
10,65,80,79,4.497276987854441,4.479658403604269
10,65,80,81,4.080972361574189,4.087409769378602
10,65,81,66,3.628842982909634,3.28125725683157
10,65,81,80,4.080972361574189,4.087409769378602
11,80,79,94,4.497276987854441,4.479658403604269
11,80,80,95,4.080972361574189,4.087409769378602
11,80,81,96,3.8587636006216295,3.7206450625637313
11,80,94,79,4.497276987854441,4.479658403604269
11,80,94,95,4.548111409899862,4.710450424143139
11,80,95,80,4.080972361574189,4.087409769378602
11,80,95,94,4.548111409899862,4.710450424143139
11,80,95,96,4.196314922734107,4.347635617950419
11,80,96,81,3.8587636006216295,3.7206450625637313
11,80,96,95,4.196314922734107,4.347635617950419
12,95,94,109,4.548111409899862,4.710450424143139
12,95,95,110,4.196314922734107,4.347635617950419
12,95,96,111,4.017290496099573,3.967074018392273
12,95,109,94,4.548111409899862,4.710450424143139
12,95,109,110,4.40037156886728,4.530179525407585
12,95,110,95,4.196314922734107,4.347635617950419
12,95,110,109,4.40037156886728,4.530179525407585
12,95,110,111,4.160810640579378,4.270318996855986
12,95,111,96,4.017290496099573,3.967074018392273
12,95,111,110,4.160810640579378,4.270318996855986
13,110,109,124,4.40037156886728,4.530179525407585
13,110,110,125,4.160810640579378,4.270318996855986
13,110,111,126,4.083966442450229,3.9848177184099263
13,110,124,109,4.40037156886728,4.530179525407585
13,110,124,125,4.071866439537903,3.982671773236557
13,110,125,110,4.160810640579378,4.270318996855986
13,110,125,124,4.071866439537903,3.982671773236557
13,110,125,126,3.989907336110345,3.9063759872824098
13,110,126,111,4.083966442450229,3.9848177184099263
13,110,126,125,3.989907336110345,3.9063759872824098
14,125,124,139,4.071866439537903,3.982671773236557
14,125,125,140,3.989907336110345,3.9063759872824098
14,125,126,141,4.068585739281041,3.8249447916034938
14,125,139,124,4.071866439537903,3.982671773236557
14,125,139,140,3.6296097308792703,3.228674018051008
14,125,140,125,3.989907336110345,3.9063759872824098
14,125,140,139,3.6296097308792703,3.228674018051008
14,125,140,141,3.737423833689684,3.40293861243852
14,125,141,126,4.068585739281041,3.8249447916034938
14,125,141,140,3.737423833689684,3.40293861243852
15,140,139,154,3.6296097308792703,3.228674018051008
15,140,140,155,3.737423833689684,3.40293861243852
15,140,141,156,4.006312854740816,3.605875215175711
15,140,154,139,3.6296097308792703,3.228674018051008
15,140,154,155,3.166205720398206,2.490019688209615
15,140,155,140,3.737423833689684,3.40293861243852
15,140,155,154,3.166205720398206,2.490019688209615
15,140,155,156,3.4747153202583587,2.9495791863932403
15,140,156,141,4.006312854740816,3.605875215175711
15,140,156,155,3.4747153202583587,2.9495791863932403
16,155,154,169,3.166205720398206,2.490019688209615
