order,edge_id,u,v,nominal_forecast,deviation_abs,covered_by_pi,rho_implied,robust_cost_component
42,5400,1367,1368,2.417988982239244,1.2086158467610582,True,0.0,0.0
43,5406,1368,1408,2.1350417300646285,1.040043539969956,True,0.0,0.0
44,5562,1408,1409,1.816947462351552,1.0462321342931828,True,0.0,0.0
45,5566,1409,1410,1.488108991529976,0.7452266563506518,True,0.0,0.0
46,5572,1410,1450,1.2531840056278627,0.3345261121211615,True,0.0,0.0
47,5728,1450,1451,1.0746643578574382,0.5009495235678751,True,0.0,0.0
48,5734,1451,1491,1.0,0.157735055532785,True,0.0,0.0
49,5892,1491,1531,1.0221258357653542,0.6153112156427354,True,0.0,0.0
50,6050,1531,1571,1.138073146402356,1.3232440197095747,True,0.0,0.0
51,6184,1571,1572,1.233499568144599,2.220830559255977,True,0.0,0.0
52,6186,1572,1573,1.403727368667941,2.3920544616311408,True,0.0,0.0
53,6188,1573,1574,1.7327059494109138,2.4685459317991896,True,0.0,0.0
54,6190,1574,1575,2.189481054856132,2.447711650991958,True,0.0,0.0
55,6192,1575,1576,2.7302289417718013,2.303587880752027,True,0.0,0.0
56,6194,1576,1577,3.3098352286488955,2.0034186236774087,True,0.0,0.0
57,6196,1577,1578,3.893049603585667,1.5495487635957472,True,0.0,0.0
58,6198,1578,1579,4.458961620433941,1.0077338478723892,True,0.0,0.0
59,6200,1579,1580,4.996264735987191,0.4904353583637171,True,0.0,0.0
60,6202,1580,1581,5.492850130036737,0.0992389472947978,True,0.0,0.0
61,6204,1581,1582,5.927369289812605,0.1343273225168912,True,0.0,0.0
62,6206,1582,1583,6.269313225859354,0.2646506761054885,True,0.0,0.0
63,6208,1583,1584,6.488331512327541,0.3896119769502535,True,0.0,0.0
64,6210,1584,1585,6.5669412691765725,0.5783197929805262,True,0.0,0.0
65,6212,1585,1586,6.508155265357231,0.8208074205307669,True,0.0,0.0
66,6214,1586,1587,6.332867870028179,1.0362882452423632,True,0.0,0.0
67,6216,1587,1588,6.068834397285251,1.133718072156535,True,0.0,0.0
68,6218,1588,1589,5.738867652449909,1.0800909213656018,True,0.0,0.0
69,6220,1589,1590,5.356395314985324,0.9267586066600008,True,0.0,0.0
70,6222,1590,1591,4.931374730523332,0.7754236422340721,True,0.0,0.0
71,6224,1591,1592,4.482341800406247,0.7093093105641293,True,0.0,0.0
72,6226,1592,1593,4.045748124519319,0.738552026452457,True,0.0,0.0
73,6228,1593,1594,3.674674255880483,0.79588245307415,True,0.0,0.0
74,6230,1594,1595,3.4247805760168712,0.7809035696573585,True,0.0,0.0
75,6232,1595,1596,3.332408088535413,0.6181676596119061,True,0.0,0.0
76,6234,1596,1597,3.394674450659241,0.290080625006742,True,0.0,0.0
77,6236,1597,1598,3.562227532200198,0.1692589353392688,True,0.0,0.0
78,6238,1598,1599,3.751398239312306,0.7016736097530742,True,0.0,0.0
,,,,,,,,
TOTAL_NOMINAL_COST,,,,329.3938433541987,,,,
TOTAL_ROBUST_OBJECTIVE,,,,329.3938433541987,,,,
